File Name,Total Error Number,Spelling Error Number,Grammar Error Number,Punctuation Error Number,Syntax Error Number,Style Error Number,Other Error Number
AMOW Wadih Tannous NESA.docx,0,0,0,0,0,0,0
1 - Coraline Conventions (1).docx,9,2,1,0,4,1,1
1 - Coraline Conventions.docx,0,0,0,0,0,0,0
3 - Coraline Scene Analysis-other mother transformation.docx,17,2,6,1,6,2,0
elie speech.docx,11,0,0,1,7,3,0
Elies english essay.docx,17,3,9,0,2,2,1
English Assignment.docx,18,0,5,0,3,7,3
Key verbs exam questions (1).docx,5,1,0,1,2,0,1
Literary Techniques (1).docx,17,2,2,1,7,3,2
Speech For English.docx,17,0,2,0,5,9,1
wadih english submission.docx,4,2,2,0,0,0,0
Year 10 English Task 1 2020- Final.docx,2,0,2,0,0,0,0
Act 1 Scene 5 summary.docx,25,0,4,2,14,4,1
Act 2 Summary and Cloze Passage.doc,Error reading file,Error reading file,Error reading file,Error reading file,Error reading file,Error reading file,Error reading file
ACT 3 SCENE 3.docx,Error reading file,Error reading file,Error reading file,Error reading file,Error reading file,Error reading file,Error reading file
Act 3 Summary and Cloze Passage (1).doc,7,0,2,0,4,1,0
Act 3 Summary and Cloze Passage.doc,Error reading file,Error reading file,Error reading file,Error reading file,Error reading file,Error reading file,Error reading file
Act 3 Summary and Cloze Passage.docx,Error reading file,Error reading file,Error reading file,Error reading file,Error reading file,Error reading file,Error reading file
At the king.docx,Error reading file,Error reading file,Error reading file,Error reading file,Error reading file,Error reading file,Error reading file
English Study Notes (1).docx,Error reading file,Error reading file,Error reading file,Error reading file,Error reading file,Error reading file,Error reading file
english terms for entrance exam.docx,19,3,4,1,3,6,2
Entire macbeth play - Copy.docx,9,2,2,0,1,4,0
Entire macbeth play.docx,8,0,1,0,5,2,0
Exam shit for English.docx,10,1,2,0,7,0,0
Macbeth - Dramatic Irony.docx,"Request failed with status code 400: {""ErrorType"":""Illegal parameter value"",""Message"":""The document is too long""}","Request failed with status code 400: {""ErrorType"":""Illegal parameter value"",""Message"":""The document is too long""}","Request failed with status code 400: {""ErrorType"":""Illegal parameter value"",""Message"":""The document is too long""}","Request failed with status code 400: {""ErrorType"":""Illegal parameter value"",""Message"":""The document is too long""}","Request failed with status code 400: {""ErrorType"":""Illegal parameter value"",""Message"":""The document is too long""}","Request failed with status code 400: {""ErrorType"":""Illegal parameter value"",""Message"":""The document is too long""}","Request failed with status code 400: {""ErrorType"":""Illegal parameter value"",""Message"":""The document is too long""}"
macbeth essay for the exam 2020.docx,"Request failed with status code 400: {""ErrorType"":""Illegal parameter value"",""Message"":""The document is too long""}","Request failed with status code 400: {""ErrorType"":""Illegal parameter value"",""Message"":""The document is too long""}","Request failed with status code 400: {""ErrorType"":""Illegal parameter value"",""Message"":""The document is too long""}","Request failed with status code 400: {""ErrorType"":""Illegal parameter value"",""Message"":""The document is too long""}","Request failed with status code 400: {""ErrorType"":""Illegal parameter value"",""Message"":""The document is too long""}","Request failed with status code 400: {""ErrorType"":""Illegal parameter value"",""Message"":""The document is too long""}","Request failed with status code 400: {""ErrorType"":""Illegal parameter value"",""Message"":""The document is too long""}"
Macbeth talks to himself again.docx,34,0,8,1,19,5,1
Macbeth.docx,4,0,2,0,1,1,0
The Divine Right of Kings.docx,22,2,7,0,9,4,0
Wadih English Notes.docx,10,3,0,1,6,0,0
Wadih Tannous Tuesday.docx,19,0,6,1,10,1,1
Wadih-Macbeth - Introduction.docx,21,3,8,1,9,0,0
Wadih-Macbeth.docx,5,0,0,0,4,1,0
03 - Media - Editorials-converted.docx,8,0,3,2,2,1,0
BEIRUT ENGLISH ASS TASK (1).docx,1,0,0,0,1,0,0
BEIRUT ENGLISH ASS TASK (2) (1) copy.docx,5,1,0,0,4,0,0
BEIRUT ENGLISH ASS TASK (2) (1).docx,1,0,0,0,1,0,0
BEIRUT ENGLISH ASS TASK (2).docx,16,2,6,0,5,3,0
BEIRUT ENGLISH ASS TASK.docx,14,1,6,0,4,3,0
Comparitive essay structure.docx,18,0,11,0,3,3,1
Harper Lee 1.docx,14,1,6,0,4,3,0
What are the Jim Crowe Laws.docx,9,0,5,0,2,2,0
1960 TO KILL A MOCKINGBIRD by Harper Lee Copyright.docx,8,0,5,0,3,0,0
Prejudice and persecution.docx,5,1,3,0,0,0,1
Prejudice is when a person negatively pre.docx,5,0,3,0,1,1,0
TKAMB VS THE BLINDSIDE.docx,"Request failed with status code 400: {""ErrorType"":""Illegal parameter value"",""Message"":""The document is too long""}","Request failed with status code 400: {""ErrorType"":""Illegal parameter value"",""Message"":""The document is too long""}","Request failed with status code 400: {""ErrorType"":""Illegal parameter value"",""Message"":""The document is too long""}","Request failed with status code 400: {""ErrorType"":""Illegal parameter value"",""Message"":""The document is too long""}","Request failed with status code 400: {""ErrorType"":""Illegal parameter value"",""Message"":""The document is too long""}","Request failed with status code 400: {""ErrorType"":""Illegal parameter value"",""Message"":""The document is too long""}","Request failed with status code 400: {""ErrorType"":""Illegal parameter value"",""Message"":""The document is too long""}"
To Kill A Mockingbird - Full Text PDF.docx,12,2,3,0,6,0,1
comparitive essay.docx,3,0,1,0,2,0,0
English assignments.docx,17,1,6,0,8,1,1
english thing prize crap.docx,"Request failed with status code 400: {""ErrorType"":""Illegal parameter value"",""Message"":""The document is too long""}","Request failed with status code 400: {""ErrorType"":""Illegal parameter value"",""Message"":""The document is too long""}","Request failed with status code 400: {""ErrorType"":""Illegal parameter value"",""Message"":""The document is too long""}","Request failed with status code 400: {""ErrorType"":""Illegal parameter value"",""Message"":""The document is too long""}","Request failed with status code 400: {""ErrorType"":""Illegal parameter value"",""Message"":""The document is too long""}","Request failed with status code 400: {""ErrorType"":""Illegal parameter value"",""Message"":""The document is too long""}","Request failed with status code 400: {""ErrorType"":""Illegal parameter value"",""Message"":""The document is too long""}"
Essay Structure.docx,21,0,10,2,3,4,2
I walked briskly towards the ship in which I would be boarding which was taking off in a few minutes copy.docx,11,0,4,0,6,0,1
I walked briskly towards the ship in which I would be boarding which was taking off in a few minutes.docx,7,0,2,0,1,4,0
Year 9 English Comparitive essay sacffold.docx,0,0,0,0,0,0,0
yeet.docx,106,7,82,3,7,7,0
1 - THR - Basketball questions.docx,109,7,82,3,10,7,0
english essay.docx,0,0,0,0,0,0,0
Literary Techniques.docx,"Request failed with status code 400: {""ErrorType"":""Illegal parameter value"",""Message"":""The document is too long""}","Request failed with status code 400: {""ErrorType"":""Illegal parameter value"",""Message"":""The document is too long""}","Request failed with status code 400: {""ErrorType"":""Illegal parameter value"",""Message"":""The document is too long""}","Request failed with status code 400: {""ErrorType"":""Illegal parameter value"",""Message"":""The document is too long""}","Request failed with status code 400: {""ErrorType"":""Illegal parameter value"",""Message"":""The document is too long""}","Request failed with status code 400: {""ErrorType"":""Illegal parameter value"",""Message"":""The document is too long""}","Request failed with status code 400: {""ErrorType"":""Illegal parameter value"",""Message"":""The document is too long""}"
Term 1 English Assessment Task- Year  9.1 and  Year 9.2 copy.docx,19,1,7,1,4,3,3
Discuss the ways that conflict and love are shown in Romeo and Juliet.docx,16,2,6,1,5,2,0
Romeo and Juliet.docx,17,2,2,1,7,3,2
Year 9 Exam Notification 2019.docx,0,0,0,0,0,0,0
(Refined) English.docx,2,0,1,0,0,0,1
ENGLISH TASK TERM 3.docx,"Request failed with status code 400: {""ErrorType"":""Illegal parameter value"",""Message"":""The document is too long""}","Request failed with status code 400: {""ErrorType"":""Illegal parameter value"",""Message"":""The document is too long""}","Request failed with status code 400: {""ErrorType"":""Illegal parameter value"",""Message"":""The document is too long""}","Request failed with status code 400: {""ErrorType"":""Illegal parameter value"",""Message"":""The document is too long""}","Request failed with status code 400: {""ErrorType"":""Illegal parameter value"",""Message"":""The document is too long""}","Request failed with status code 400: {""ErrorType"":""Illegal parameter value"",""Message"":""The document is too long""}","Request failed with status code 400: {""ErrorType"":""Illegal parameter value"",""Message"":""The document is too long""}"
jimbroski allah shurpa muhammed fcuk.docx,0,0,0,0,0,0,0
Quotes to memorise.docx,18,5,2,0,4,5,2
reflection.docx,17,0,4,1,7,4,1
Year 9 English History Integrated Task 2019.docx,4,0,0,0,4,0,0
1 - CF - Introduction to genre.docx,8,2,2,0,0,4,0
English Study Notes.docx,2,0,0,0,1,1,0
Bibliography Table - Religion.docx,2,0,1,0,1,0,0
